,msp,perplexity,confidence,entropy,Class
50,5.0461745,1.2869934,"[[0.01102646 0.02239973 0.03966869 0.04847654 0.05330271 0.05376673
  0.05266184 0.0540848  0.05643343 0.05724249 0.05027072 0.05166721
  0.05380613 0.05582687 0.05523323 0.05587623 0.05756468 0.05755932
  0.05671258 0.05641957]]",0.16018592,human
51,2.3219912,3.1931107,[0.58443785 0.41556212],1.1322007,human
52,2.7083924,3.8736463,[0.4301535 0.5698466],1.3345537,human
53,2.8951805,4.252854,[0.2673098  0.73269016],1.2129653,human
54,3.9471996,1.2181826,"[[0.01377676 0.03823256 0.04512531 0.04973448 0.05260142 0.05262652
  0.05157577 0.05234882 0.05447634 0.05430469 0.05122306 0.05167493
  0.05333484 0.05309718 0.05271526 0.05393814 0.05513784 0.05489407
  0.05453701 0.05464504]]",0.14315061,human
55,2.08362,2.8343425,[0.3917535  0.60824656],0.99418736,human
56,4.674245,10.351407,[0.6420062  0.35799378],2.2541792,human
57,1.8469214,1.0967443,"[[0.05349651 0.03377881 0.05371567 0.04565709 0.05399678 0.04474434
  0.0540196  0.04892609 0.05419425 0.04862218 0.05406779 0.04669834
  0.05414798 0.04694929 0.05415264 0.04853781 0.05419104 0.04817655
  0.05421636 0.04771092]]",0.08119068,human
58,4.5997696,9.973034,[0.66945386 0.33054617],2.1802983,human
59,3.995703,7.3731976,[0.38035938 0.6196406 ],1.9394641,human
60,2.6474736,3.7574358,[0.07052603 0.92947394],0.21627933,human
61,0.93303084,1.5944284,[0.5055797  0.49442026],0.46639088,human
62,3.003771,1.1620533,"[[0.01771223 0.03879768 0.04720481 0.05004779 0.051634   0.05196448
  0.05209312 0.05263698 0.05297851 0.05307903 0.05171081 0.05216642
  0.05274149 0.05303041 0.05316132 0.05379672 0.05408223 0.05380472
  0.053677   0.05368024]]",0.11090542,human
63,1.8974597,2.5824275,[0.2103772 0.7896228],0.5656593,human
64,4.945293,1.280518,"[[0.01078167 0.01489574 0.05362426 0.03931974 0.05803646 0.04577082
  0.05853693 0.04939288 0.05863058 0.05122739 0.05882564 0.05080965
  0.05874857 0.05136392 0.05879771 0.05405992 0.05912476 0.05454336
  0.05892952 0.05458039]]",0.12900724,human
65,3.423339,5.5381994,[0.14015085 0.8598492 ],1.0588895,human
66,4.0680165,7.644667,[0.2224522  0.77754784],1.6866758,human
67,5.337078,1.3058496,"[[0.01363819 0.02653076 0.02825204 0.05874522 0.04481452 0.0604514
  0.04886963 0.06093703 0.05233743 0.06125975 0.04148922 0.06126616
  0.04623201 0.06136326 0.04895002 0.06144428 0.05071325 0.06151182
  0.04967057 0.06152342]]",0.17011417,human
68,3.3562477,5.355499,[0.16412324 0.83587676],1.1313623,human
69,1.9638435,2.6695814,[0.14294739 0.8570527 ],0.34243244,human
70,3.1762054,1.1721156,"[[0.03322841 0.03146954 0.05239565 0.04156797 0.05547463 0.04387851
  0.05570978 0.04726478 0.05657472 0.04786304 0.05664391 0.04841475
  0.0569142  0.0488161  0.05704801 0.05052018 0.05710157 0.04968934
  0.05711396 0.05231095]]",0.13392833,human
71,1.4123925,2.026269,[0.25653073 0.74346924],0.44712573,human
72,1.9859145,2.6992047,[0.34736258 0.65263736],0.896696,human
73,3.1736178,4.888126,[0.36464775 0.6353523 ],1.511655,human
74,0.77574223,1.4738398,[0.31640494 0.68359506],0.24643996,human
75,2.605419,3.6792521,[0.23374496 0.766255  ],0.9865891,human
76,3.6686058,6.2607684,[0.2852143 0.7147857],1.6369703,human
77,3.8080444,6.71284,[0.2460424  0.75395757],1.6196322,human
78,3.1009011,1.1677105,"[[0.04413715 0.03008635 0.0552422  0.04061827 0.05628236 0.04481681
  0.05667378 0.04528422 0.05684227 0.04689971 0.05680806 0.04515931
  0.05697427 0.04691273 0.05701534 0.04805361 0.05719572 0.04834193
  0.05715381 0.04950215]]",0.13258344,human
79,3.6275108,6.133437,[0.5577722  0.44222784],1.8003451,human
80,1.6736016,2.3089683,[0.2388362 0.7611638],0.5340935,human
81,2.6643667,3.7893078,[0.29277578 0.7072242 ],1.1494238,human
82,2.7238743,3.903748,[0.4265668 0.5734331],1.3402102,human
83,1.6754557,2.3111098,[0.17636067 0.8236394 ],0.3389344,human
84,1.7145987,2.3567872,[0.797562   0.20243803],0.44930446,human
85,6.36223,1.3745295,"[[0.00346336 0.0201529  0.03940889 0.04895113 0.05274988 0.05369481
  0.05362783 0.05524084 0.05692177 0.05720371 0.05235217 0.05382809
  0.05541085 0.05578737 0.05511825 0.05639744 0.05782214 0.05743896
  0.05710666 0.05732295]]",0.15418638,human
86,4.347385,1.242803,"[[0.013186   0.02704934 0.0554882  0.04368364 0.05813965 0.04871347
  0.05860692 0.05134602 0.05883289 0.05155759 0.05896722 0.04403201
  0.05904251 0.04729654 0.05909136 0.0485303  0.05914185 0.04884056
  0.05916962 0.04928433]]",0.1400573,human
87,1.1333344,1.7623836,[0.2715808 0.7284192],0.3413049,human
88,2.5796065,3.6320722,[0.24664643 0.7533536 ],1.006914,human
89,3.0456164,1.1644871,"[[0.02569737 0.05654647 0.03174742 0.05673373 0.0412947  0.05681237
  0.04509867 0.05684876 0.0478681  0.05684102 0.04596087 0.05688532
  0.04708787 0.05691095 0.04786918 0.05691642 0.04909056 0.05692322
  0.04991315 0.05695385]]",0.11615991,human
90,2.91647,4.2983665,[0.46761775 0.53238225],1.4540346,human
91,1.0882688,1.7231162,[0.3383891  0.66161096],0.43577725,human
92,7.849469,1.4806385,"[[0.02875399 0.04776032 0.00938881 0.03136079 0.03303015 0.04287506
  0.04487155 0.05042007 0.0527826  0.0556732  0.05649647 0.05860134
  0.05842014 0.06034212 0.06104271 0.06148251 0.06127269 0.06192507
  0.06166795 0.06183243]]",0.27475527,human
93,3.7837567,6.631814,[0.07982431 0.9201757 ],0.86465967,human
94,1.1767532,1.8010621,[0.2480646 0.7519354],0.30899003,human
95,4.1090727,7.8032193,[0.71687174 0.2831283 ],1.8530632,human
96,3.7426317,6.4968395,[0.21354271 0.7864573 ],1.497861,human
97,4.9568105,11.922235,[0.62495446 0.3750456 ],2.4146,human
98,1.2465484,1.8650244,[0.33226612 0.66773385],0.5062038,human
99,1.7117562,2.35344,[0.34731877 0.65268123],0.7595598,human
100,1.9305352,2.6254902,[0.1301717  0.86982834],0.26280043,human
101,5.2716002,1.3015815,"[[0.01092482 0.02746792 0.04023779 0.04529715 0.05094356 0.05252039
  0.0524343  0.05341072 0.0557754  0.0565347  0.05210574 0.05253075
  0.05440348 0.0558999  0.05505455 0.05600948 0.05773212 0.0575487
  0.05658066 0.05658785]]",0.17993632,human
102,4.146768,1.2303989,"[[0.01121135 0.03003638 0.04349706 0.04905322 0.05268452 0.05326383
  0.05288604 0.05321983 0.05480462 0.05544947 0.05215202 0.05250567
  0.05327482 0.05445291 0.05428754 0.05448882 0.05582211 0.05610262
  0.0556034  0.05520389]]",0.13253953,human
103,3.390545,5.44813,[0.638338 0.361662],1.6166747,human
104,2.393618,3.3095396,[0.550894   0.44910604],1.1864123,human
105,1.2111454,1.8323013,[0.43467897 0.565321  ],0.5884073,human
106,7.8734713,1.4824165,"[[0.01943718 0.03585035 0.00764242 0.031949   0.03917184 0.04601965
  0.04903095 0.05341608 0.05475798 0.05684197 0.05778497 0.05897436
  0.05937422 0.0605184  0.0610099  0.06151316 0.06153578 0.06179634
  0.06164763 0.06172783]]",0.24730869,human
107,4.9998264,1.2840143,"[[0.03359518 0.04759469 0.05053513 0.02474219 0.04044532 0.05367652
  0.05478265 0.04339303 0.05020821 0.05707533 0.05639119 0.0505431
  0.05146419 0.05673315 0.05620705 0.05142383 0.05382352 0.05736436
  0.05753802 0.05246334]]",0.21607244,human
108,2.3506722,3.2392316,[0.18035409 0.8196459 ],0.69140804,human
109,2.5640712,3.6039684,[0.36055204 0.6394479 ],1.2021363,human
110,2.24746,3.076307,[0.09660212 0.90339786],0.22190876,human
111,2.5173893,3.5208223,[0.16120233 0.8387977 ],0.6999125,human
112,3.1224506,1.1689694,"[[0.04697067 0.04262188 0.05023738 0.02475925 0.05654315 0.04947294
  0.05274359 0.04293063 0.05702787 0.05154077 0.05325472 0.04479755
  0.05711004 0.05254213 0.05470612 0.04879957 0.05716601 0.05191812
  0.05484188 0.0500158 ]]",0.13022853,human
113,1.8670096,2.543408,[0.19958626 0.8004137 ],0.5162655,human
114,1.890855,2.5739136,[0.17663953 0.8233605 ],0.4476842,human
115,4.356134,8.829223,[0.26393476 0.7360652 ],1.9359543,human
116,3.629528,6.139627,[0.4691906  0.53080934],1.8109623,human
117,4.44221,9.217511,[0.5056087  0.49439132],2.2209792,human
118,1.142324,1.7703229,[0.27964327 0.72035676],0.36265346,human
