,msp,perplexity,entropy,calced_entropy,Class
27,2.258609,3.0935042,1.1256416,"[[3.1043744, 3.1571057, 0.0037556326, 4.053968, 2.577111, 0.039889716, 0.25013757, 0.007586087, 0.0005762595, 0.020061646]]",generated
28,0.23017207,1.2588165,0.23017207,[[1.1618018]],generated
29,0.16046426,1.1740558,0.16046426,[[1.0671513]],generated
30,0.27744788,1.3197573,0.27744788,[[1.4271517]],generated
31,0.179758,1.1969277,0.179758,[[1.0860256]],generated
32,0.41341802,1.511977,0.41341802,[[2.1179175]],generated
33,1.2897208,3.6317723,1.2897208,[[2.6450708]],generated
34,3.5412774,5.874604,1.6405437,"[[4.4963636, 4.4268804, 2.1169145, 0.65004236, 2.8430731, 0.3762179, 0.025309857, 0.14776443, 1.7234963, 0.42609206]]",generated
35,0.05086833,1.0521843,0.05086833,[[0.4529843]],generated
36,4.6825924,10.394701,2.2069616,"[[5.640086, 3.320339, 3.733396, 3.2632515, 6.117062, 3.7185984, 4.204751, 1.6517965, 1.7092206]]",generated
37,1.2763054,3.5833762,1.2763054,[[2.979159]],generated
38,0.36398214,1.4390483,0.36398214,[[1.6470535]],generated
39,0.4158758,1.5156977,0.4158758,[[1.9047855]],generated
40,0.08650195,1.0903535,0.08650195,[[0.67733467]],generated
41,0.6770506,1.9680645,0.6770506,[[2.4349077]],generated
42,0.96269923,2.6187556,0.96269923,[[2.989601]],generated
43,0.1387666,1.1488559,0.1387666,[[0.9453292]],generated
44,0.7314796,2.078153,0.7314796,[[3.1741345]],generated
45,0.48107597,1.6178142,0.48107597,[[2.1990323]],generated
46,0.09552389,1.1002352,0.09552389,[[0.68322325]],generated
47,2.2839558,3.1329587,1.0112569,"[[3.4852612, 3.449631, 0.092483915, 2.7137706, 0.6904465, 3.0444896, 1.3516597, 0.01946009, 1.908649, 0.14141957]]",generated
48,1.2237093,3.3997753,1.2237093,[[4.1721096]],generated
49,0.6649336,1.9443613,0.6649336,[[2.4505367]],generated
50,1.03433,1.6772659,0.4635703,"[[1.3905811, 0.99499977, 0.99612945, 0.084109776, 0.08573362, 0.7187942, 0.048535656, 0.026356418, 0.625479, 0.08222299]]",generated
51,2.4357896,3.3800645,1.208818,"[[3.011767, 3.6521456]]",generated
52,0.06564839,1.0678512,0.06564839,[[0.5645166]],generated
53,0.18472385,1.2028862,0.18472385,[[1.0157564]],generated
54,0.104669385,1.1103435,0.104669385,[[0.81273526]],generated
55,0.2314251,1.2603949,0.2314251,[[1.6184828]],generated
56,0.09135777,1.0956609,0.09135777,[[0.6202343]],generated
57,2.4526103,3.408612,0.94895446,"[[2.5604572, 4.701622, 2.9218955, 1.1711836, 1.1538954, 1.1356487, 1.0022742, 0.47626528, 3.2754729]]",generated
58,2.2368827,3.0600808,1.1017559,"[[2.5058823, 1.4178143, 1.0910101, 1.1140915, 0.010767205, 0.6081894, 0.5825502, 0.33224386, 0.14017363, 0.573797]]",generated
59,0.52586174,1.3007369,0.23028864,"[[2.3771615, 0.28412446, 0.6143964, 2.6362245, 0.070828915, 0.0012931814, 0.005710835, 0.19619843, 0.019538105, 0.0007537425]]",generated
60,1.0345851,2.8139386,1.0345851,[[3.5185957]],generated
61,0.07364643,1.0764261,0.07364643,[[0.5633678]],generated
62,0.09388995,1.0984389,0.09388995,[[0.71877795]],generated
63,1.5138263,4.5440845,1.5138263,[[4.167944]],generated
64,0.105406374,1.1111621,0.105406374,[[0.93030274]],generated
65,1.1186433,3.0606987,1.1186433,[[3.3220208]],generated
66,0.0022709328,1.0011362,0.0011354408,"[[0.013501646, 0.010557719, 0.007420569, 0.0035902807, 0.00775588, 0.018692825, 0.049215723, 0.4816756, 0.09595963, 0.2114764]]",generated
67,0.24902062,1.2827685,0.24902062,[[1.3807142]],generated
68,5.144779,13.097084,2.3329046,"[[5.374115, 5.608121, 2.8026023, 2.7197227, 4.724104, 2.9784594, 0.29247546, 3.5643623, 1.8232228, 1.6569182]]",generated
69,0.19524898,1.2156136,0.19524898,[[1.1073887]],generated
70,1.0951712,2.9896944,1.0951712,[[3.5153084]],generated
71,0.5431828,1.7214773,0.5431828,[[2.5689323]],generated
72,1.251986,1.870102,0.31792954,"[[2.0821753, 0.28915307, 0.0036670216, 0.0010401634, 1.2523513, 0.72148854, 2.64791, 0.34216094, 0.8671849, 1.1053737]]",generated
73,2.2826571,9.802693,2.2826571,[[4.8522587]],generated
74,0.92167914,2.5135074,0.92167914,[[2.9193845]],generated
75,0.17086367,1.186329,0.17086367,[[1.1035769]],generated
76,0.0927124,1.0971462,0.0927124,[[0.6806887]],generated
77,0.0629331,1.0649556,0.0629331,[[0.52923423]],generated
78,0.12227987,1.1300703,0.12227987,[[0.8953692]],generated
79,0.78851587,1.483283,0.35711065,"[[0.8201585, 1.1446123, 2.3632536, 1.382406]]",generated
80,0.14976911,1.161566,0.14976911,[[0.98436385]],generated
81,0.2126885,1.2369993,0.2126885,[[1.110536]],generated
82,0.26377696,1.3018377,0.26377696,[[1.5110092]],generated
