,PHD
0,9.961476022399065
1,4.000999634163278
2,11.480764026917692
3,18.09137890896739
4,10.334667419035547
5,9.772144841966988
6,10.045085466737568
7,9.423931042157623
8,10.029164167165021
9,10.318641034960638
10,5.714713241144668
11,9.460601614600423
12,8.08699246758171
13,8.980754907548976
14,10.045741802231548
15,9.319060985942691
16,6.825076677783148
17,8.91857105745643
18,9.751473337951898
19,7.857673736792989
20,5.394578164887304
21,9.45646558411686
22,7.4662861774731555
23,11.435882394034259
24,10.423159471766812
25,11.420704404911483
26,9.197849409817344
27,15.419208039203495
28,7.830060073699268
29,7.9931503707926
30,10.137183442727181
31,8.401620739412698
32,9.043516532818371
33,9.291713766140873
34,9.051238424575967
35,8.531256095827406
36,8.799850595061244
37,11.682797502388905
38,8.598866479152223
39,11.226032411221023
40,11.255661127525313
41,10.026255419761737
42,8.242053513950692
43,9.344960285007142
44,11.065556764697106
45,10.676097139225691
46,6.868166248792298
47,6.363570001903537
48,10.104011339257841
49,6.440173848908355
50,8.241158334678953
51,7.276221860339972
52,10.822158447849368
53,10.36777683409641
54,8.671564796846145
55,10.598543552208865
56,7.905888945116395
57,9.750552387283335
58,6.349714817796365
59,8.097210041705392
60,10.092061023285096
61,9.306289784815148
62,6.805577577078297
63,8.338620309281636
64,9.666501465281282
65,9.076876866818301
66,8.543757239328189
67,10.959614553033727
68,8.442240551097681
69,9.409146884909262
70,6.185248961025938
71,10.653517526697367
72,8.62297872080906
73,11.896016962059006
74,9.86686072665423
75,10.009400765004692
76,6.622588274042913
77,7.707244206524104
78,9.704644327989934
79,10.614969912042813
80,9.375654797286291
81,7.521927649987073
82,7.7253700667762075
83,9.2889471142031
84,9.526540894346626
85,8.463856465519754
86,9.662996411080396
87,7.809892948287875
88,11.653963767787802
89,9.416338871941917
90,7.716928047528587
91,11.695450144512291
92,8.202605962937817
93,10.560577936163558
94,6.948051187364264
95,8.795553863836705
96,6.9735308774013784
97,7.694788185607896
98,11.171506693235557
99,4.052317335208738
100,7.700364762002158
101,11.461457432849077
