,PHD
0,11.172680972908745
1,7.1993630487864175
2,13.439752853059707
3,11.640320266450278
4,9.688463657768708
5,9.31745043289965
6,11.767879524875282
7,8.589993981369187
8,7.477258430271555
9,11.003666709770185
10,12.054560701972823
11,9.161646116227471
12,11.794807211063883
13,8.516153878071117
14,
15,7.8727047327327115
16,8.157413300204471
17,7.145082551701094
18,8.561487704802502
19,9.76516470414749
20,8.30701805920188
21,
22,10.22478287981363
23,8.193300974646089
24,12.142397709224458
25,
26,5.837609371997662
27,7.122073904228664
28,11.880357181306577
29,6.420527638844458
30,5.2106118212779196
31,11.593797449495915
32,
33,9.622254999379015
34,13.21233315209602
35,11.350097790977978
36,9.948020441857173
37,9.504934524649896
38,11.923336844791033
39,7.373151367374912
40,10.823166770504809
41,9.209236633748052
42,8.578251517490077
43,10.245095179713728
44,
45,9.495520833810225
46,9.621706561907896
47,10.680377057396898
48,11.130798929894498
49,7.8846311921252035
50,7.715719184281901
51,9.526772456170063
52,4.642145814757725
53,7.660062183919805
54,9.616308813677048
55,10.634701900431951
56,9.277975857289709
57,12.72913368219178
58,5.919421111206459
59,8.946181445673108
60,
61,7.831672313222252
62,9.502095875087292
63,10.20553274353368
64,8.933570921615944
65,6.766513533384607
66,11.854460023094513
67,8.946831415902395
68,7.89761530209381
69,10.016653457189172
70,4.287908082711611
71,11.50541416638903
72,
73,6.236296507830704
74,8.982352674528844
75,8.491399193140634
76,8.702865640769492
77,9.92294296643907
78,10.270803423396842
79,13.656406605570533
80,
81,5.698876475606761
82,
83,8.932231466814061
84,
85,8.387604687691418
86,10.403694185607538
87,12.707398838475058
88,10.101750585857276
89,5.256123888630443
90,10.259675547766559
91,10.367106830074976
92,9.017438804033588
93,10.48656718999519
94,9.923492980673648
95,10.348167955458644
96,8.429245151594795
97,
98,11.321030622950396
99,9.967911885306387
100,9.784836860657293
101,7.632777355760349
102,7.881228882754851
103,7.7995269913060845
104,6.543049685552969
105,6.887317468175372
106,7.796069703922705
107,9.309110106521512
108,11.836404043870855
109,11.174261081229531
110,
111,9.12639441478046
112,
113,10.078277296390104
114,
115,6.403963921884555
116,8.566495275176152
117,
118,11.02113457557056
119,10.367764183589516
120,9.259208229796764
121,4.171635951405749
122,11.765632765796108
123,11.083830445925754
124,9.222580009311159
125,10.206377166085648
126,9.792806736719047
127,11.627090738031711
128,10.513899704320059
129,11.095268016960015
130,9.59225449795185
131,11.186828268575974
132,9.265431923216868
133,11.075479687685295
134,11.29887185492284
135,7.684551670506561
136,6.0364541315365745
137,10.405276369332134
138,10.427380007829008
139,6.603442780542097
140,9.788545904204167
141,9.566006076454142
142,7.3573122062005325
143,8.829967129792626
144,6.873482620810652
145,11.124553960681189
146,11.961324432144611
147,
148,7.326314445233785
149,11.153298321946846
150,
151,7.8867563045222635
152,8.359277778606433
153,9.645910679189527
154,11.259390193830422
155,9.845375893411255
156,7.555907364990379
157,10.29295549615823
158,7.677887063406089
159,7.899428642619776
160,
161,11.222764551338447
162,7.9535663452214465
163,6.771202589086441
164,7.906082300031927
165,12.990249346647404
166,8.862773959379801
167,8.25760254367991
168,
169,5.559653983988922
170,10.089582228653924
171,5.330228732203749
172,9.57846276293085
173,11.402259451437855
174,6.294516089536013
175,10.323682268139596
176,8.281270098338002
177,9.918112706853039
178,8.25087980550671
179,
180,7.908993513735243
181,10.743740708215615
182,
183,11.205909657328341
184,10.132640583318631
185,10.060048185134473
186,
187,9.447407505770663
188,10.04323123246679
189,5.6043936103331715
190,5.993441377053399
191,9.653295099849322
192,7.906899490152875
193,
194,5.3729148903689
195,10.10263436116408
196,8.014274194964665
197,8.796648494418395
198,10.064231896283273
199,13.246411926126749
200,8.466740009505688
201,
202,8.581576259135101
203,9.551642804672444
204,
205,7.3657644197387455
206,12.164890458945331
207,
208,11.896670688630133
209,7.24436241520693
210,11.423860165294212
211,8.610946790458904
212,8.180749798278043
213,8.828293676262936
214,10.625939669333707
215,6.69662742950387
216,
217,12.19725445918176
218,
219,8.984247584166134
220,9.314663256226465
221,8.590544299842994
222,5.863443172122867
223,16.253713686821108
224,10.693033608625159
225,
226,
227,9.162521272625916
228,10.204673597513182
229,7.809508752221452
230,9.780732510457689
231,8.660772561996819
232,9.383489136752232
233,12.866757377729193
234,6.814957168026322
235,15.554882009633383
236,8.017616499320157
237,5.686832824014725
238,9.587506546423342
239,8.838377899318772
240,
241,8.695866704269424
242,6.050386208574013
243,10.254285169796358
244,10.822258281011068
245,4.8152780773986406
246,10.193025446085919
247,12.121492999049085
248,6.752833099316411
249,10.109316728189711
250,9.251283610926137
251,
252,6.88207373313768
253,8.797195488490068
254,9.351554691442777
255,
256,
257,10.835545857135939
258,15.349663517727649
259,
260,8.167597149190149
261,8.969083723579361
262,9.944965664977714
263,16.64902702368763
264,6.201218953097623
265,
266,9.23161263606924
267,9.538931107567945
268,7.935461291854414
269,11.928079861255885
270,12.193623501935003
271,7.75761285092153
272,11.103167196665273
273,
274,8.645914791105758
275,11.835523224659497
276,10.0004828341677
277,10.70511775788811
278,10.333119231638268
279,14.748504908600044
280,9.764636357274455
281,6.743096257071664
282,9.033583461215624
283,12.07885538300386
284,7.552835156467878
285,
286,8.222329504154292
287,9.088498534735646
288,11.128032060040862
289,8.527299974292076
290,13.663714719708778
291,10.849868889135637
292,6.626254550998171
293,10.036659392091067
294,8.406412789618562
295,
296,8.671521105680121
297,6.09125626743121
298,10.172103860185548
299,6.730815815299714
300,
301,7.234344162245015
302,
303,11.664213120653331
304,9.228254584221972
305,10.163407580955333
306,5.718368618263991
307,8.431424701710444
308,7.897472436524334
309,9.935656656411416
310,7.543478836450565
311,8.16273351281306
312,
313,6.715565414184162
314,7.811987447094
315,10.544486757021218
316,7.87243059745388
317,19.345437525175484
318,10.89014222809483
