,PHD
0,7.98022649394477
1,9.071415196747134
2,7.92991663629746
3,7.995755548858928
4,8.195132334126818
5,10.049713452377109
6,9.244953705963301
7,9.10252202353028
8,7.378649293368178
9,7.979608929772674
10,7.364471788327509
11,9.96426897138255
12,6.9858376264274415
13,8.829995123036772
14,7.040695457177583
15,8.306121544502929
16,7.657667359332626
17,6.8426909438839205
18,8.961026716480667
19,9.737476503823812
20,7.09410617481846
21,6.309484528857926
22,9.216464135486927
23,7.75598811821346
24,9.016732764912321
25,6.78125673692239
26,6.031829290564619
27,11.249892415131294
28,6.726279322209448
29,9.100761823263303
30,8.396711052185225
31,8.240633220050654
32,6.115911504621198
33,7.8166207493481386
34,10.739198615071103
35,8.419159546908638
36,7.706424057463278
37,9.141990846485264
38,9.45754712595293
39,9.01337757028436
40,11.111713577219074
41,6.2201660650458495
42,9.018409710843324
43,9.552353059184004
44,8.12636555989459
45,7.897438335274192
46,9.17522860791542
47,8.191570674117662
48,7.4551262520631285
49,6.871981107412848
50,10.725809646625759
51,9.782413666816801
52,9.713703686868717
53,7.215335872356568
54,6.473171021067988
55,9.894938360322726
56,8.265829958251016
57,7.922466892311318
58,9.19435054684595
59,8.193082187595602
60,9.091699501823282
61,8.93904254360007
62,10.067600728271238
63,7.532817731553583
64,7.924680518288506
65,8.757898193432887
66,7.468463373688591
67,11.77494923815678
68,8.38600458905457
69,10.7198368306159
70,7.114258901328571
71,5.275767128251647
72,9.095729893295552
73,7.251132209546757
74,7.669809141226454
75,7.9194970415095876
76,8.170000063296081
77,8.411807564955867
78,8.390547716314494
79,6.866546731811334
80,6.339920234932143
81,7.918424704906638
82,8.803010420638522
83,8.473637662610223
84,8.987430873814004
85,7.803562957830604
86,7.008192965300355
87,9.53541023145059
88,8.552920211801785
89,9.402884262872057
90,9.035146598789034
91,8.739081555172135
92,7.458918239509251
93,8.619048705327133
94,9.241092997748654
95,7.9206723022927195
96,7.352959947932767
97,9.46803679571406
98,10.101286854802925
99,7.326667066566196
100,5.5735704284034755
101,6.83201940554672
102,8.229194051785665
103,7.77421622057818
104,8.65495729960021
105,7.192589027222198
106,8.327992806495738
107,8.715051745096625
108,8.491504763346837
109,7.680211866670406
110,10.254444104445527
111,7.673529321096917
112,10.278939504459196
113,9.265553070485103
114,7.698360034673881
115,7.598082429791931
116,9.970893113245847
117,6.251401201885917
118,6.492845784478158
119,6.62083895497964
120,10.269659407308321
121,8.057842890751152
122,8.722824991611581
123,9.93925410813425
124,9.026542383307271
125,7.5142809138763065
126,6.749082597719544
127,7.914032299814364
128,7.833575950864764
129,7.888805288856934
130,7.067830230396205
131,7.118261125141553
132,7.810193219784163
133,7.767024394470873
134,7.673745298377482
135,8.117939979918193
136,7.034151855095116
137,5.65116367851631
138,8.331027407874487
139,10.386303134713838
140,9.13976515514709
141,8.270273637015107
142,9.83970732328949
143,10.237500100462093
144,5.549922358493893
145,6.227581951815186
146,11.603646883048114
147,9.584847897893694
148,8.737505908456262
149,8.76894606774071
150,9.301399493286404
151,7.942871173280091
152,9.724511049350797
153,8.038324736993644
154,8.752366902802216
155,10.072302013486649
156,8.729761154369353
157,7.793546308063445
158,9.414472821006107
159,7.196910084287887
160,8.80578664041782
161,7.845469658781459
162,6.204445455651286
163,8.434253118367298
164,8.484919065320078
165,8.542357091217925
166,7.880146264136875
167,10.594299898946542
168,10.729188297604566
169,9.440234514038783
170,7.660999866643321
171,10.611569042112842
172,8.650597952432783
173,11.16551316025858
174,8.408269626994533
175,5.5871525404002815
176,10.007826027609203
177,8.070666278958797
178,8.931188377943737
179,6.909834264752174
180,10.056184724280909
181,7.461783247292917
182,6.931982205488223
183,9.662364728881311
184,9.028005813130793
185,9.802939420368258
186,10.44332688046717
187,7.625887878679271
188,9.05015764067332
189,12.423244551000996
190,6.311163743729115
191,8.950811604788202
192,9.50056218989468
193,9.098215229229657
194,8.699396087686498
195,7.213687242506785
196,10.465643739267977
197,8.085379920255395
198,8.42130333389737
199,7.886932904400496
200,9.631065484725063
201,7.57227858777153
202,8.6547615784847
203,8.82198743001607
204,7.145224680634697
205,9.350975051413313
206,6.250209554227765
207,7.557458746091167
208,8.725535768954417
209,8.795735186515063
210,8.509535380740354
211,9.452364416540188
212,6.350925910771976
213,5.930544212923501
214,10.02735993602101
215,7.780753744498764
216,7.802820682581159
217,7.637310348713118
218,9.729023254169842
219,7.329706106732223
220,8.408088897358716
221,5.706004675592081
222,7.536878839212959
223,7.685510780164834
224,6.102982966664389
225,8.938752283270926
226,8.824208867051059
227,7.069331927949262
228,10.162181203366499
229,8.029996660335073
230,8.177209597367648
231,6.749060005476416
232,9.383781320463326
233,9.900231702543032
234,5.367665587934954
235,7.834464159000057
236,8.374171212020759
237,7.183287114882132
238,8.24503078070361
239,6.598153078879088
240,6.827319081886545
241,8.651764992304596
242,8.680238773200763
243,10.720262256007302
244,7.3581417764533015
245,6.760792925923222
246,4.8477464509624815
247,7.088718192116164
248,8.348354582316375
249,11.737567044951753
250,8.916924641720797
251,10.73034851880708
252,6.7994587276533505
253,6.929550493434798
254,8.676942226597554
255,7.598372191896026
256,9.26872765480019
257,7.160171063899386
258,7.603132391028468
259,8.945098770160575
260,8.708759479719589
261,7.254557576927628
262,6.598992284687003
263,9.054807083107427
264,10.823538362101315
265,10.742165631943658
266,8.699442803033492
267,8.495406042688074
268,7.706634518015525
269,7.930953128800989
270,8.717899945096324
271,9.922284782978213
272,7.638106979155251
273,8.22599396633001
274,10.514960946275291
275,7.654987123974498
276,10.309619400502603
277,7.72405868944108
278,8.395002929766475
279,8.660680930754005
280,8.70248161640529
281,7.027282490304999
282,9.185933382787805
283,9.838453598948668
284,6.9325081076149635
285,10.46827523727675
286,7.788157601134535
287,7.560343262366492
288,9.578557157464479
289,9.654344706362078
290,7.195896485439859
291,8.78838942507418
292,7.246631786783843
293,8.902949576816203
294,9.26060490874307
295,9.443026090787974
296,8.68421799357301
297,5.565921889423483
298,9.752090506329258
299,7.314916091648285
300,8.38031191488141
301,8.052592043576002
302,8.876809513930104
303,9.694861690528251
304,7.772210149978854
305,9.810521732638511
306,6.487051827303865
307,7.8136631065178195
308,10.385697302467888
309,7.179712174253154
310,8.726146056466641
311,7.767991410488687
312,8.346984937661638
313,9.570058531543248
314,9.316191874471421
315,7.3462122970624435
316,8.644830879538635
317,9.412629597685003
318,9.406452947775945
319,11.42576755669163
320,6.999121833815696
321,6.865937356922065
322,8.589227730767501
323,5.337393985176876
324,8.74540140733631
325,8.245522368324544
326,9.905296443326264
327,8.131452771822072
328,7.2857795125480855
329,8.343061599426267
330,7.282822907362407
331,8.136393346627056
332,6.963875093423304
333,7.266991525696203
334,9.900532807574113
335,6.668118603838506
336,8.255834994639324
337,8.68118139175933
338,7.052493590621979
339,7.748320529247387
340,7.1514122733377565
341,7.251985888168753
342,9.687887584392017
343,7.094425231793022
344,8.210596226893452
345,6.601144662348095
346,8.184221338585571
347,10.432702179951502
348,8.491767594388776
349,6.016708374134682
350,8.775868381315265
351,8.03987535455953
352,7.534607982029059
353,7.578802924123697
354,8.783525509199071
355,6.845121533973806
356,8.856160752792187
357,6.03674472537535
358,8.716644504926304
359,8.247931597669458
360,8.110719313080656
361,7.053110640850617
362,8.749373023505532
363,6.797577797960171
364,8.549079220177234
365,8.421794524610087
366,8.05720874441515
367,8.350234171573062
368,10.34094193561127
369,7.747274120791004
370,7.985317834010425
371,11.110556131802115
372,8.22087720304573
373,10.53421992715976
374,9.495259913317286
375,9.079978215638251
376,8.248485734779761
377,6.934645900813906
378,6.154758997242685
379,9.296642113017473
380,9.239413826178694
381,11.779042981905587
382,9.645574931367822
383,9.688557523369361
384,6.743256160210154
385,9.292208955036077
386,6.280150200421672
387,8.312478116068272
388,6.445678889550846
389,6.521995963015304
390,7.969087174250377
391,9.997162411138412
392,9.215477196524672
393,8.619996140892493
394,7.190244106399544
395,10.44773521977616
396,5.860621061969621
397,9.779533022102546
398,9.677059996368314
399,8.158098534279425
400,10.18584199036525
401,8.994067582010802
402,8.372212017777231
403,6.381069562033834
404,8.338030928242516
405,8.479791954082176
406,7.5770210669509535
407,6.803687563126146
408,11.752396783974033
409,10.04818834759058
410,9.689173940003313
411,8.920762504525763
412,9.636919142274934
413,8.765155413824216
414,9.026497994116506
415,6.463874643889715
416,8.463702912137393
417,6.478354840929078
418,6.770662071110358
419,7.410671217405115
420,9.737554887218705
421,7.060574373239374
422,9.000027688142081
423,9.70632155467274
424,7.323082013011752
425,7.760910000969018
426,6.5907058728848344
427,8.825740069941114
428,9.409166064822536
429,8.934187336166763
430,10.016004141817822
431,8.919648350581413
432,5.233199441402159
433,10.229805219336878
434,7.602277147735442
435,7.329818738677926
436,10.859586031633143
437,7.013229022067313
438,9.766282681916223
439,6.7182506373374205
440,7.774364429981662
441,9.132450043773888
442,8.535927970895825
443,5.846521964728812
444,8.556608632829441
445,7.392354603152809
446,7.7555892748997985
447,6.966310076612442
448,7.181305494091721
449,7.957353331699036
450,9.456894146741638
451,7.280885291024393
452,6.143728265847797
453,8.27462477206178
454,8.806153595448242
455,10.815555294311116
456,10.124015732589498
457,6.211160277349008
458,8.33829377913229
459,7.1436796482722995
460,6.841367981639018
461,7.62556043385465
462,9.353967798996996
463,9.06500077778364
464,9.496294325989396
465,7.840743707662735
466,5.763577320214469
467,9.819779933332411
468,7.349425532496162
469,7.646517321534476
470,7.824326341274117
471,8.645685355808068
472,7.2140782942475825
473,5.286905133239523
