,PHD
0,9.375699238936734
1,8.434457845489685
2,8.591979040666047
3,8.569458955938394
4,7.642345634589924
5,2.892975422997878
6,2.315600204988284
7,8.954316474888403
8,9.319841531587816
9,7.117156196892375
10,9.13636550601622
11,9.276091625816152
12,7.776970430508168
13,6.5879550840203045
14,8.268774417680243
15,2.138456522000412
16,7.465511874301651
17,3.067523966990584
18,5.3823593641329746
19,8.35841201204703
20,8.296882358310013
21,8.259709457025034
22,7.457753558288329
23,8.77883064225449
24,6.825738944459855
25,8.493123677537255
26,9.182473039870429
27,2.8730210394804834
28,7.805230602027638
29,3.913871601678769
30,3.381108528467948
31,6.467252066246969
32,6.753667610865513
33,9.1929921573318
34,8.377987644112723
35,8.347165196766223
36,6.581356381613737
37,8.952810595598486
38,5.946708663169047
39,7.4342013000176435
40,9.602257951393831
41,3.612476909276765
42,7.060961068112028
43,9.423946495651247
44,7.977417077088311
45,7.0415423442903835
46,6.425354244266168
47,9.128410846967805
48,7.225447646240819
49,9.430867770623705
50,5.40019556142869
51,8.297076829477263
52,6.549068691103033
53,7.1880864375928955
54,7.982689151070511
55,10.197934600330164
56,9.257322231480886
57,7.745424606486345
58,8.070098539169916
59,9.430538352566987
60,7.862281385418622
61,10.781728832005415
62,8.680749682998137
63,6.630774449949377
64,7.618632740133032
65,7.367123611701589
66,8.476626541558373
67,7.707247119217418
68,6.005280792033112
69,9.306376488136243
70,2.9668262386491495
71,8.61205253247698
72,11.707351306690866
73,7.956642120708061
74,7.569933522362168
75,5.845714171872318
76,8.191382550099476
77,8.762876936805391
78,7.436594696060213
79,6.174783396160174
80,8.23824628569441
81,2.5984759361595704
82,5.9143441579222085
83,7.528931920671874
84,9.214380644691735
85,3.875059629443973
86,4.763428730947051
87,7.46571141117135
88,8.37979743434999
89,5.273977017071591
90,7.369760288599112
91,6.212683987509446
92,7.333840698381076
93,7.492816706191911
94,11.597168075561111
95,5.298326196688024
96,6.791483920315792
97,5.347206994707251
98,2.0861426338114164
99,3.4271906339519886
100,4.975345900309663
101,5.398636285323091
102,7.671684341497853
103,7.684758189657873
104,8.692309262569358
105,8.294334162358723
106,8.258650506010229
107,4.32304142544267
108,8.091775222507453
109,7.757955634755909
110,8.416769078951253
111,9.18339258278024
112,10.232297149661571
113,8.869702655527265
114,7.940099547312204
115,8.17963292897888
116,1.8780451863703511
117,8.580675426568137
118,8.145354795625327
119,
120,8.776089219184204
121,8.586337701518751
122,4.835029310930626
123,8.916146027695286
124,3.3986819963394117
125,2.7472300767863906
126,6.299093269598027
127,5.511688608790909
128,7.084857236165011
129,6.443943220381188
130,9.270966217852646
131,5.3418724145404
132,7.572657802384996
133,9.321920536524846
134,2.808728902577976
135,7.6752819007556
136,6.103270965309509
137,6.47639242532091
138,
139,6.285235785574776
140,5.008054853137662
141,7.271481905791287
142,6.388519639642175
143,8.321185648675273
144,9.12748485043104
145,8.880631456402226
146,7.454776869096041
147,6.353683618325406
148,8.919201832049927
149,9.669264261662724
150,10.414909933066177
151,8.585812835333005
152,8.300879360005968
153,6.840982578265268
154,4.88412100963027
155,7.1496075383036795
156,7.4565799039461
157,10.727365078624993
158,6.061884880535794
159,8.160881684040909
160,6.833638150869192
161,6.7372156593770605
162,3.2346184189416856
163,7.010676350944026
164,8.328134887089135
165,7.7284683418107765
166,7.015026947392695
167,4.766919728092063
168,6.1634894709109025
169,7.233011466916544
170,10.865862366701442
171,3.2329163023419834
172,8.480536590514294
173,2.371534462648465
174,5.984083700133636
175,9.87889916960505
176,7.878020254766325
177,9.035866948954839
178,5.574823896393899
179,6.700169490019265
180,2.524356764118471
181,6.470493938390434
182,9.743806116210957
183,8.167768392074167
184,5.4082999582079445
185,9.021073786768563
186,6.676397995586042
187,3.285798878074333
188,8.523319677934442
189,7.264403823312023
190,6.27828963309628
191,8.180061213750642
192,5.631700977607908
193,9.370365632906962
194,9.112691912864813
195,8.427295897386077
196,7.452395998458529
197,2.5282368606865933
198,8.525243938147039
199,9.222630090992558
200,7.548661192542608
201,8.213376210268335
202,8.372891114451843
203,10.395244189783313
204,8.654828031507066
205,8.700255016410553
206,7.357320358663784
207,9.551726784370661
208,8.431227401009863
209,6.393726734631356
210,2.712126845477664
211,2.286700774683669
212,7.30557355557144
213,4.747567900694616
214,7.140641886876872
215,6.384616278086482
216,6.601701487298816
217,8.074039859664042
218,7.5982071423043465
219,7.705628572310588
220,5.144645202230509
221,9.043400189999902
222,9.748972656672871
223,8.326145517155542
224,9.238789644107026
225,2.624463351626432
226,6.2470608297471975
227,9.251457080833159
228,9.900122628633659
229,8.582247944231549
230,8.058256390435464
231,6.757324996552781
232,7.996762945818548
233,7.489573229446165
234,4.189160584512697
235,9.225214361624092
236,6.284006109828258
237,9.579749169479225
238,8.678130311292513
239,6.171003516737738
240,9.830062668989598
241,9.541046664556065
242,9.030812720166526
243,6.982553134978358
244,8.379053926976308
245,9.016581581305502
246,8.143007289802968
247,7.896173467882566
248,7.4050271208390415
249,9.374081414151256
250,6.525455752984257
251,6.693864450482041
252,8.354626333340907
253,7.101574938210395
254,6.289878937652534
255,3.1309924739098456
256,7.5143222320627645
257,7.697988066412241
258,6.422469248097619
259,8.734397377860837
260,10.039880223048394
261,9.921306189713693
262,7.7794174272504835
263,8.000498053622128
264,6.2237046643263065
265,8.923204316870908
266,7.765615717112403
267,8.725293822233791
268,7.852948451691091
269,10.188513266698214
270,6.4185529529019005
271,6.119982151859703
272,7.3860949835335505
273,8.060827340754258
274,5.843660789428842
275,7.980008445962979
276,7.760332708770112
277,7.062797433075132
278,7.716277492921121
279,8.944267390629829
280,9.399962700651072
281,10.611650182225839
282,8.319284991477963
283,5.59436499765942
284,2.3881663484809064
285,6.001655961753556
286,7.026591837625254
287,7.102039647974437
288,8.546421535226694
289,6.879348746658887
290,7.840042332136938
291,9.133505167825229
292,8.684606463462943
293,6.642371248916123
294,7.789472934701332
295,7.811713693213409
296,
297,7.546843186438653
298,6.165670203864444
299,3.4163951734401548
300,2.601927640825339
301,7.464140274967941
302,6.714345383974523
303,6.397695491657933
304,5.646474960755864
305,3.419724003881477
306,8.445050432004763
307,8.878124838692301
308,6.648883438985249
309,6.267224840913226
310,7.997883483684855
311,2.8100129078586393
312,7.840903280539128
313,6.447645238498911
314,6.770144139894506
315,3.003877550318302
316,6.532359249903722
317,8.528973107639752
318,8.963097011803308
319,8.41974386233814
320,8.722872704723587
321,4.389088715532481
322,5.842825784408759
323,6.814307623378805
324,8.350485570705494
325,6.022903743866397
326,6.1509099386922
327,5.586138209158794
328,7.797837205845746
329,8.95753309965367
330,7.623943219664604
331,7.677173957832018
332,7.166523459571649
333,7.965406744177858
334,5.586314091179223
335,6.951964275137452
336,7.2001971623121825
337,6.644527692168215
338,6.391996442799264
339,5.518323959129552
340,6.699162388682874
341,8.385047893398822
342,2.7607312129965025
343,10.061359496876863
344,4.4945165137540855
345,7.539513557258908
346,5.408581281081227
347,8.953930486069584
348,6.910895098315345
349,8.20436172152806
350,7.328665807480231
351,7.370172793340558
352,6.755169953982531
353,7.763388472184425
354,7.684174455007224
355,9.625240965783846
356,9.315565817798145
357,8.398565574628062
358,8.925091954469893
359,7.02611549963959
360,8.166973852406198
361,4.781018922927056
362,8.10397341858154
363,9.136377964475212
364,9.080212615118317
365,8.406649977872465
366,8.456093903049936
367,8.132039833857114
368,10.532959508458907
369,6.9917403943725525
370,7.348351948919645
371,7.660239526694337
372,8.546315308533313
373,8.689270468751097
374,6.646550686010621
375,5.0054664400316025
376,3.7428939047539895
377,
378,3.4637609532965357
379,3.0987669043073267
380,9.93569506273344
381,2.8553466641028047
382,8.436404970622215
383,7.075947575298173
384,8.016067760450076
385,9.089256802383
386,9.768973871108646
387,8.065127662907408
388,9.852932682786488
389,7.656779303251151
390,6.3415164580670345
391,8.266103211205333
392,8.335148054596036
393,8.817564787605063
394,8.530495507224463
395,8.834580106900598
396,8.726079360709326
397,7.18190378698993
398,6.6927261010877785
399,4.953724550155533
400,7.779770334548703
401,6.7132979987761034
402,8.631154264908083
403,
404,7.269006918874237
405,9.351648068223568
406,3.988068797436859
407,5.440024197950181
408,6.022053472957193
409,6.870744186129625
410,5.116060646217035
411,8.484750976731219
412,7.068366789911752
413,7.485228910102817
414,4.20216409907117
415,9.48708701946214
416,7.390564617940532
417,5.259660370509417
418,2.102291789356013
419,2.8999462548314385
420,6.350876815645889
421,7.7161666029426215
422,8.829988541442557
423,6.912756219389745
424,8.47571316780663
425,7.352943602612291
426,4.300382423909969
427,7.3950428577142535
428,7.9746121212531245
429,8.680944070062644
430,8.701426263079924
431,9.608631458457683
432,8.421051341422741
433,7.385399069890084
434,7.322994123294239
435,9.906450079596652
436,8.598688322090712
437,7.246807954928273
438,2.7788891008571572
439,9.292721142431466
440,6.881586050914698
441,6.398769437298995
442,6.36369996583258
443,6.567436919731888
444,3.3048053818263394
445,3.6257723635721653
446,4.982634533155212
447,6.262761683621039
448,9.382686038091085
449,3.0425851174218295
450,2.0072461105630057
451,8.48582522536308
452,9.142251353305475
453,6.762226683808036
454,7.086559400587646
455,9.973113260852474
456,7.2008536553213975
457,8.732672188724047
458,7.449840869467814
459,1.8956839782841493
460,7.539424370530805
461,3.700131501274922
462,8.913985675078571
463,8.77505349218506
464,6.2318398485800195
465,6.775533488666659
466,6.408006771519488
467,8.736783682727925
468,8.753887568106471
469,5.6519164625664216
470,2.665285336925235
471,9.335588115637174
472,3.850567743354132
473,7.719726699072256
474,9.167498692879226
475,6.345139992845658
476,2.3622871176532194
477,4.6667914153390475
478,9.580565412499785
479,6.4920170903278995
480,11.508167967328289
481,7.471908598239378
482,8.921019836039495
483,13.007036828259594
484,6.46067560449809
485,8.970045225723798
486,8.12247133017014
487,9.186036170669368
488,8.61871601107814
489,9.067917580728817
